Ticket
ID,Assigned Bus,Start Location,End Location,Route,Bus Time,Valid
T1,B1,S1,S10,R1,08/23/2024:10:00:00,TRUE
T2,B3,S1,S9,R1,07/16/2024:19:10:00,TRUE
T3,B2,S4,S10,R1,09/12/2024:18:00:00,TRUE
T4,B2,S1,S4,R1,10/10/2024:11:00:00,TRUE
T5,B4,S2,S5,R2,04/26/2024:15:00:00,TRUE
T6,B3,S4,S10,R1,06/12/2024:14:00:00,TRUE
T7,B5,S2,S5,R2,08/12/2024:08:00:00,TRUE
T8,B1,S1,S4,R1,09/19/2024:22:00:00,TRUE
T10,B1,S9,S10,R1,04/19/2024:16:43:00,FALSE
T11,B1,S1,S10,R1,04/27/2024:08:00:43,TRUE
T12,B3,S1,S10,R1,04/26/2024:11:30:31,TRUE
T13,B11,S1,S2,R6,04/24/2024:20:00:00,TRUE
T14,B2,S9,S10,R1,04/27/2024:16:30:00,TRUE
T15,B1,S4,S10,R1,04/27/2024:11:00:00,TRUE
T16,B10,S3,S6,R5,04/24/2024:14:00:00,TRUE
T17,B2,S4,S10,R1,04/25/2024:13:30:00,TRUE
T18,B1,S4,S10,R1,04/21/2024:11:00:00,FALSE
T19,B10,S3,S6,R5,04/22/2024:14:00:00,TRUE
